Number of Data Points = 64
        
File	hc(nm)	Pmax(N)	S(N/nm)	A(nm^2)	hmax(nm)	heff(nm)	Er(GPa)	H(GPa)	A	hf(nm)	m	X(mm)	Y(mm)	Drift(nm/s)
mapping-8x8x8-000_20190114_2243_00000 DC.hys	170.372801	3.776848	0.086125	942836.720079	200.936514	203.262677	0.078586	0.004006	0.000081	101.272732	2.325714	-73.108699	-58.402901	1.575471
mapping-8x8x8-000_20190114_2245_00001 DC.hys	166.163635	4.777927	0.096526	901565.380125	200.597083	203.287753	0.090070	0.005300	0.000018	75.917920	2.573189	-73.106699	-58.402703	1.056515
mapping-8x8x8-000_20190114_2247_00002 DC.hys	162.009937	228.218117	2.744071	861723.885228	202.212494	224.385716	2.619064	0.264839	0.000104	0.032926	2.697595	-73.104699	-58.402802	-0.556233
mapping-8x8x8-000_20190114_2249_00003 DC.hys	171.332140	276.444760	5.023344	952369.530857	202.899902	212.606156	4.560631	0.290270	0.000180	57.267394	2.822698	-73.102699	-58.402802	0.497814
mapping-8x8x8-000_20190114_2251_00004 DC.hys	155.479629	219.067769	250.000000	800867.829524	202.475859	156.136833	247.510948	0.273538	250.000000	155.260561	1.000000	-73.100699	-58.402802	0.214404
mapping-8x8x8-000_20190114_2252_00005 DC.hys	188.117506	43.598039	2.460683	1126744.151161	201.750172	201.405902	2.053893	0.038694	0.000056	142.447294	3.327637	-73.098699	-58.402802	0.299979
mapping-8x8x8-000_20190114_2254_00006 DC.hys	164.708531	57.725796	1.052716	887508.095057	201.952229	205.834867	0.990056	0.065043	0.000210	66.687176	2.537565	-73.096699	-58.402802	0.140161
mapping-8x8x8-000_20190114_2256_00007 DC.hys	168.297512	151.451595	3.339117	922375.383898	202.441343	202.315095	3.080439	0.164197	0.000079	68.310132	2.954464	-73.094699	-58.402802	0.073212
mapping-8x8x8-000_20190114_2258_00008 DC.hys	177.221271	159.223213	4.725728	1011916.201107	202.005300	202.490901	4.162280	0.157348	0.000347	106.304406	2.854805	-73.108699	-58.400700	0.047804
mapping-8x8x8-000_20190114_2259_00009 DC.hys	171.188203	272.731713	6.906843	950936.263480	202.610995	200.803584	6.275361	0.286803	0.000858	93.752909	2.711024	-73.106699	-58.400803	0.042329
